n_words,n_words_total,speed,time,participant
1.0,1.0,Slow,1556569025170,Maddie
51.0,52.0,Fast,1556569027177,Maddie
14.0,66.0,On_pace,1556569029249,Maddie
20.0,86.0,On_pace,1556569031487,Maddie
17.0,103.0,On_pace,1556569033805,Maddie
16.0,119.0,On_pace,1556569035848,Maddie
21.0,140.0,On_pace,1556569038067,Maddie
28.0,168.0,Fast,1556569040124,Maddie
12.0,180.0,On_pace,1556569042163,Maddie
20.0,200.0,On_pace,1556569044385,Maddie
17.0,217.0,On_pace,1556569046574,Maddie
19.0,236.0,On_pace,1556569048761,Maddie
16.0,252.0,On_pace,1556569050850,Maddie
14.0,266.0,On_pace,1556569053433,Maddie
8.0,274.0,On_pace,1556569055489,Maddie
17.0,291.0,On_pace,1556569057579,Maddie
22.0,313.0,On_pace,1556569059586,Maddie
12.0,325.0,On_pace,1556569063996,Maddie
25.0,350.0,Fast,1556569066067,Maddie
14.0,364.0,On_pace,1556569068206,Maddie
21.0,385.0,On_pace,1556569070328,Maddie
15.0,400.0,On_pace,1556569072384,Maddie
24.0,424.0,Fast,1556569074622,Maddie
16.0,440.0,On_pace,1556569076645,Maddie
21.0,461.0,On_pace,1556569078652,Maddie
18.0,479.0,On_pace,1556569080759,Maddie
21.0,500.0,On_pace,1556569082813,Maddie
26.0,526.0,Fast,1556569084823,Maddie
12.0,538.0,On_pace,1556569086846,Maddie
21.0,21.0,On_pace,1556595726000,Esrath
25.0,46.0,Fast,1556595728022,Esrath
17.0,63.0,On_pace,1556595730145,Esrath
21.0,84.0,On_pace,1556595732235,Esrath
16.0,100.0,On_pace,1556595734522,Esrath
26.0,126.0,Fast,1556595736563,Esrath
19.0,145.0,On_pace,1556595738571,Esrath
17.0,162.0,On_pace,1556595740594,Esrath
22.0,184.0,On_pace,1556595742637,Esrath
23.0,207.0,Fast,1556595744758,Esrath
17.0,224.0,On_pace,1556595746785,Esrath
21.0,245.0,On_pace,1556595748822,Esrath
19.0,264.0,On_pace,1556595750996,Esrath
17.0,281.0,On_pace,1556595753035,Esrath
22.0,303.0,On_pace,1556595755077,Esrath
20.0,323.0,On_pace,1556595757132,Esrath
22.0,345.0,On_pace,1556595759141,Esrath
18.0,363.0,On_pace,1556595761264,Esrath
20.0,383.0,On_pace,1556595763319,Esrath
21.0,404.0,On_pace,1556595765344,Esrath
23.0,427.0,Fast,1556595767351,Esrath
18.0,445.0,On_pace,1556595769391,Esrath
22.0,467.0,On_pace,1556595771794,Esrath
21.0,488.0,On_pace,1556595773949,Esrath
17.0,505.0,On_pace,1556595776040,Esrath
24.0,529.0,Fast,1556595778080,Esrath
22.0,551.0,On_pace,1556595780135,Esrath
18.0,569.0,On_pace,1556595782210,Esrath
16.0,585.0,On_pace,1556595784397,Esrath
1.0,1.0,Slow,1556569490246,Deepshikha
40.0,41.0,Fast,1556569492332,Deepshikha
16.0,57.0,On_pace,1556569494372,Deepshikha
16.0,73.0,On_pace,1556569496428,Deepshikha
14.0,87.0,On_pace,1556569498451,Deepshikha
4.0,91.0,Slow,1556569503599,Deepshikha
16.0,107.0,On_pace,1556569505688,Deepshikha
15.0,122.0,On_pace,1556569508071,Deepshikha
18.0,140.0,On_pace,1556569510160,Deepshikha
10.0,150.0,On_pace,1556569513466,Deepshikha
12.0,162.0,On_pace,1556569515604,Deepshikha
24.0,186.0,Fast,1556569517659,Deepshikha
19.0,205.0,On_pace,1556569519863,Deepshikha
15.0,220.0,On_pace,1556569521917,Deepshikha
7.0,227.0,On_pace,1556569524779,Deepshikha
19.0,246.0,On_pace,1556569526802,Deepshikha
13.0,259.0,On_pace,1556569528939,Deepshikha
12.0,271.0,On_pace,1556569531325,Deepshikha
18.0,289.0,On_pace,1556569534468,Deepshikha
16.0,305.0,On_pace,1556569537179,Deepshikha
27.0,332.0,Fast,1556569539348,Deepshikha
12.0,344.0,On_pace,1556569543493,Deepshikha
6.0,350.0,On_pace,1556569548196,Deepshikha
22.0,372.0,On_pace,1556569550334,Deepshikha
13.0,385.0,On_pace,1556569553311,Deepshikha
15.0,400.0,On_pace,1556569555661,Deepshikha
12.0,412.0,On_pace,1556569558410,Deepshikha
24.0,436.0,Fast,1556569560545,Deepshikha
8.0,444.0,On_pace,1556569562881,Deepshikha
17.0,461.0,On_pace,1556569564903,Deepshikha
1.0,1.0,Slow,1556570399912,Isha
44.0,45.0,Fast,1556570401922,Isha
19.0,64.0,On_pace,1556570403973,Isha
27.0,91.0,Fast,1556570406045,Isha
19.0,110.0,On_pace,1556570408051,Isha
14.0,124.0,On_pace,1556570410452,Isha
23.0,147.0,Fast,1556570412509,Isha
26.0,173.0,Fast,1556570414664,Isha
15.0,188.0,On_pace,1556570416721,Isha
